Fire_Lons,Fire_Lats
144.64,-15.29
144.482,-15.314
144.208,-15.355
144.063,-15.376
144.005,-15.385
143.503,-15.459
143.473,-15.463
142.941,-15.54
142.579,-15.592
142.386,-15.62
142.37,-15.622
142.222,-15.643
142.122,-15.657
141.903,-15.688
141.714,-15.715
141.696,-15.717
141.679,-15.72
144.681,-15.27
144.667,-15.272
144.032,-15.367
144.002,-15.372
143.988,-15.374
143.944,-15.38
142.657,-15.567
142.593,-15.576
142.561,-15.581
142.545,-15.583
142.497,-15.59
142.236,-15.627
142.203,-15.631
142.104,-15.645
141.901,-15.674
141.764,-15.693
141.729,-15.698
141.712,-15.7
141.694,-15.703
141.677,-15.705
144.564,-15.274
144.015,-15.356
143.986,-15.36
143.971,-15.362
143.869,-15.378
143.499,-15.432
143.424,-15.443
142.983,-15.506
142.718,-15.544
142.655,-15.553
142.591,-15.562
142.575,-15.564
142.365,-15.594
142.201,-15.617
142.185,-15.619
142.152,-15.624
142.102,-15.631
141.899,-15.659
141.709,-15.686
141.675,-15.69
141.657,-15.693
144.346,-15.293
144.274,-15.304
143.998,-15.345
143.779,-15.377
143.15,-15.468
142.95,-15.497
142.935,-15.499
142.841,-15.512
142.428,-15.571
142.396,-15.575
142.199,-15.603
142.183,-15.605
142.166,-15.608
142.149,-15.61
141.931,-15.64
141.897,-15.645
141.725,-15.669
141.707,-15.671
141.69,-15.673
141.672,-15.676
141.655,-15.678
144.156,-15.308
143.967,-15.336
143.703,-15.374
143.658,-15.381
143.087,-15.463
142.963,-15.481
142.948,-15.483
142.932,-15.485
142.714,-15.516
142.682,-15.521
142.666,-15.523
142.65,-15.525
142.634,-15.527
142.619,-15.53
142.507,-15.545
142.491,-15.548
142.475,-15.55
142.458,-15.552
142.361,-15.566
142.214,-15.586
142.197,-15.589
142.147,-15.596
141.861,-15.635
141.757,-15.649
141.74,-15.652
141.723,-15.654
141.705,-15.656
141.688,-15.659
141.67,-15.661
144.429,-15.253
143.686,-15.363
143.523,-15.387
142.915,-15.474
142.68,-15.507
142.664,-15.509
142.648,-15.511
142.617,-15.516
142.392,-15.547
142.375,-15.549
142.228,-15.57
142.212,-15.572
142.162,-15.579
142.145,-15.581
142.095,-15.588
141.859,-15.621
141.738,-15.637
141.721,-15.64
141.703,-15.642
141.686,-15.644
141.668,-15.647
141.651,-15.649
141.633,-15.651
143.934,-15.313
143.772,-15.337
143.684,-15.349
143.535,-15.371
143.265,-15.41
143.22,-15.416
143.128,-15.429
143.006,-15.447
142.63,-15.5
142.373,-15.535
142.357,-15.538
142.341,-15.54
142.226,-15.556
142.209,-15.558
141.925,-15.597
141.856,-15.606
141.736,-15.623
141.718,-15.625
141.701,-15.627
141.684,-15.63
141.666,-15.632
141.649,-15.634
141.631,-15.637
141.596,-15.641
144.669,-15.19
143.77,-15.323
143.755,-15.325
143.741,-15.327
