Lons,Lats
149.71319580078125,-26.50603675842285
149.71389770507812,-26.503543853759766
149.4328155517578,-26.451261520385742
151.91737365722656,-25.999271392822266
149.6829833984375,-26.35089111328125
152.44163513183594,-25.822477340698242
151.4277801513672,-26.003156661987305
151.79710388183594,-25.92757797241211
151.7954559326172,-25.920080184936523
151.79928588867188,-25.927324295043945
151.78932189941406,-25.929113388061523
151.79763793945312,-25.919822692871094
147.0568084716797,-26.695161819458008
147.05560302734375,-26.6884708404541
149.12359619140625,-26.27497673034668
149.12225341796875,-26.26822280883789
149.19961547851562,-26.199743270874023
149.19158935546875,-26.2010440826416
148.43312072753906,-26.322786331176758
148.42530822753906,-26.324018478393555
149.19825744628906,-26.192962646484375
149.1902313232422,-26.194272994995117
148.43182373046875,-26.31609535217285
148.4240264892578,-26.317325592041016
151.88037109375,-25.718000411987305
152.13848876953125,-25.616806030273438
152.2207794189453,-25.593603134155273
151.8593292236328,-25.6600341796875
152.0485382080078,-25.60158348083496
151.96621704101562,-25.616809844970703
152.05548095703125,-25.584407806396484
152.0244903564453,-25.59017562866211
152.0537872314453,-25.576784133911133
152.0211181640625,-25.5749454498291
146.4958038330078,-26.25566291809082
146.48789978027344,-26.25678825378418
146.49462890625,-26.24892234802246
146.48670959472656,-26.25005340576172
151.9521484375,-25.21623420715332
149.9135284423828,-25.2492618560791
149.912109375,-25.24228858947754
150.8650665283203,-25.03273582458496
151.6072235107422,-24.805057525634766
148.68309020996094,-25.14048957824707
148.68179321289062,-25.133739471435547
148.68048095703125,-25.126995086669922
148.67262268066406,-25.12826156616211
151.64749145507812,-24.5803165435791
151.63735961914062,-24.58217430114746
151.42559814453125,-24.61309814453125
151.4239959716797,-24.60559844970703
148.0799560546875,-25.134897232055664
151.04481506347656,-24.611787796020508
151.0353240966797,-24.61347198486328
150.28704833984375,-24.744356155395508
151.0432586669922,-24.60443687438965
151.0337677001953,-24.606121063232422
147.92347717285156,-25.10433578491211
147.91578674316406,-25.10554313659668
148.19566345214844,-24.946271896362305
148.18792724609375,-24.9475040435791
148.19313049316406,-24.932880401611328
148.19186401367188,-24.926183700561523
148.13645935058594,-24.928056716918945
148.17384338378906,-24.91524314880371
148.16612243652344,-24.91646957397461
148.1352081298828,-24.921361923217773
148.16506958007812,-24.912052154541016
148.13414001464844,-24.916912078857422
148.16380310058594,-24.90535545349121
148.1328887939453,-24.910213470458984
148.1625213623047,-24.89866828918457
148.1612548828125,-24.891969680786133
147.56578063964844,-24.96391487121582
147.55812072753906,-24.965091705322266
147.56455993652344,-24.957246780395508
147.57098388671875,-24.949399948120117
147.577392578125,-24.94155502319336
147.5697479248047,-24.942729949951172
147.56851196289062,-24.93606185913086
147.5596466064453,-24.93056869506836
147.6349334716797,-24.912107467651367
147.62728881835938,-24.913288116455078
147.61196899414062,-24.915651321411133
147.58135986328125,-24.920366287231445
147.57371520996094,-24.921545028686523
147.56605529785156,-24.92272186279297
147.55841064453125,-24.923898696899414
147.641357421875,-24.904253005981445
147.6337127685547,-24.90543556213379
147.61074829101562,-24.908979415893555
147.60308837890625,-24.910158157348633
147.5801239013672,-24.9136962890625
147.57247924804688,-24.914873123168945
147.71670532226562,-24.885725021362305
147.60186767578125,-24.903488159179688
147.5789031982422,-24.907026290893555
147.5712432861328,-24.908205032348633
147.6006317138672,-24.89681625366211
147.5776824951172,-24.90035629272461
147.57728576660156,-24.89498519897461
147.56964111328125,-24.896160125732422
147.70620727539062,-24.868268966674805
147.69113159179688,-24.82940673828125
147.68991088867188,-24.82273292541504
147.62744140625,-24.825523376464844
147.61978149414062,-24.826702117919922
147.61856079101562,-24.820032119750977
147.61090087890625,-24.821212768554688
147.60202026367188,-24.81572151184082
147.61610412597656,-24.806686401367188
147.6084442138672,-24.80786895751953
147.2875213623047,-24.857011795043945
147.27989196777344,-24.858173370361328
147.6607666015625,-24.792919158935547
147.6148681640625,-24.800016403198242
147.6072235107422,-24.801197052001953
147.6212921142578,-24.792160034179688
147.65065002441406,-24.78075408935547
147.64300537109375,-24.781940460205078
147.63534545898438,-24.783123016357422
147.29153442382812,-24.835847854614258
147.64950561523438,-24.775957107543945
147.64186096191406,-24.777137756347656
147.2662811279297,-24.827743530273438
147.272705078125,-24.819915771484375
147.2650604248047,-24.821075439453125
147.2498016357422,-24.823392868041992
147.24215698242188,-24.82455062866211
147.271484375,-24.813249588012695
147.26385498046875,-24.814409255981445
147.24859619140625,-24.81672477722168
147.24095153808594,-24.81788444519043
147.27792358398438,-24.805421829223633
147.27027893066406,-24.806583404541016
147.2626495361328,-24.807743072509766
147.24737548828125,-24.81005859375
150.4180145263672,-24.092952728271484
147.57815551757812,-24.386821746826172
150.3929443359375,-23.865360260009766
150.3839111328125,-23.866933822631836
150.38241577148438,-23.859722137451172
150.38095092773438,-23.852502822875977
150.3719482421875,-23.854076385498047
150.38851928710938,-23.84371566772461
150.37948608398438,-23.84529685974121
150.5755157470703,-23.78830909729004
147.32293701171875,-24.021059036254883
149.9940948486328,-23.369272232055664
147.30247497558594,-23.693204879760742
149.97401428222656,-23.220115661621094
146.57301330566406,-23.702302932739258
148.65574645996094,-23.370010375976562
146.56192016601562,-23.68340301513672
146.55433654785156,-23.684532165527344
150.08944702148438,-23.10601806640625
